św. Jadwigi;św.;Jadwigi
św. Jadwigi Śląskiej;św.;Jadwigi Śląskiej
św. Jakuba;św.;Jakuba
św. Jakuba Apostoła;św.;Jakuba Apostoła
św. Jana;św.;Jana
Św. Jana Chrzciciela;Św.;Jana Chrzciciela
Św. Jana Pawła II;Św.;Jana Pawła II
św. Jana z Dukli;św.;Jana z Dukli
św. Jerzego;św.;Jerzego
Św. Józefa;Św.;Józefa
Św. Katarzyny;Św.;Katarzyny
Św. Kazimierza;Św.;Kazimierza
św. Kingi;św.;Kingi
Św. Krzysztofa;Św.;Krzysztofa
Św. Krzyża;Św.;Krzyża
św. Marii Magdaleny;św.;Marii Magdaleny
św. Marka;św.;Marka
św. Matki Teresy z Kalkuty;św.;Matki Teresy z Kalkuty
Św. Mikołaja;Św.;Mikołaja
św. Piotra;św.;Piotra
Św. Rity;Św.;Rity
św. Rocha;św.;Rocha
św. Stanisława;św.;Stanisława
św. Walentego;św.;Walentego
św. Wojciecha;św.;Wojciecha
Świętego Brata Alberta;Świętego;Brata Alberta
Świętego Floriana;Świętego;Floriana
świętego Franciszka z Asyżu;świętego;Franciszka z Asyżu
Świętego Huberta;Świętego;Huberta
Świętego Jakuba;Świętego;Jakuba
Świętego Jana;Świętego;Jana
Świętego Jana Pawła II;Świętego;Jana Pawła II
Świętego Jerzego;Świętego;Jerzego
Świętego Józefa;Świętego;Józefa
Świętego Józefa Robotnika;Świętego;Józefa Robotnika
Świętego Krzysztofa;Świętego;Krzysztofa
Świętego Macieja;Świętego;Macieja
Świętego Marka;Świętego;Marka
Świętego Michała;Świętego;Michała
Świętego Michała Archanioła;Świętego;Michała Archanioła
Świętego Mikołaja;Świętego;Mikołaja
Świętego Rocha;Świętego;Rocha
Świętego Sebastiana;Świętego;Sebastiana
Świętego Wojciecha;Świętego;Wojciecha
Świętej Anny;Świętej;Anny
Świętej Barbary;Świętej;Barbary
świętej Rity;świętej;Rity
świętej Rozalii;świętej;Rozalii
Tadeusza Czackiego;Tadeusza;Czackiego
Tadeusza Jasińskiego;Tadeusza;Jasińskiego
Tadeusza Kościuszki;Tadeusza;Kościuszki
Tadeusza Kotarbińskiego;Tadeusza;Kotarbińskiego
Tadeusza Mazowieckiego;Tadeusza;Mazowieckiego
Tadeusza Nalepy;Tadeusza;Nalepy
Tadeusza Nowakowskiego;Tadeusza;Nowakowskiego
Tadeusza Ślusarskiego;Tadeusza;Ślusarskiego
"Tadeusza Zawadzkiego ""Zośki""";Tadeusza;"Zawadzkiego ""Zośki"""
Tarasa Szewczenki;Tarasa;Szewczenki
Tekli Bądarzewskiej;Tekli;Bądarzewskiej
Teodora Axentowicza;Teodora;Axentowicza
Teodora Roosevelta;Teodora;Roosevelta
Vaclava Havla;Vaclava;Havla
Václava Havla;Václava;Havla
Wacława Felczaka;Wacława;Felczaka
Wacława Lipińskiego;Wacława;Lipińskiego
Walentego Fojkisa;Walentego;Fojkisa
Walentego Roździeńskiego;Walentego;Roździeńskiego
Waleriana Łukasińskiego;Waleriana;Łukasińskiego
Wandy Chotomskiej;Wandy;Chotomskiej
Wincentego Pola;Wincentego;Pola
Wincentego Wajdy;Wincentego;Wajdy
Wincentego Witosa;Wincentego;Witosa
Wisławy Szymborskiej;Wisławy;Szymborskiej
Witolda Gombrowicza;Witolda;Gombrowicza
Witolda Zglenickiego;Witolda;Zglenickiego
Władysława Bartoszewskiego;Władysława;Bartoszewskiego
Władysława Biegańskiego;Władysława;Biegańskiego
Władysława Broniewskiego;Władysława;Broniewskiego
Władysława Dunarowskiego;Władysława;Dunarowskiego
Władysława Grabskiego;Władysława;Grabskiego
Władysława Opolczyka;Władysława;Opolczyka
Władysława Reymonta;Władysława;Reymonta
Władysława Sikorskiego;Władysława;Sikorskiego
Władysława Strzemińskiego;Władysława;Strzemińskiego
Władysława Szpilmana;Władysława;Szpilmana
Wojciecha Bogusławskiego;Wojciecha;Bogusławskiego
Wojciecha Kętrzyńskiego;Wojciecha;Kętrzyńskiego
Wojciecha Kilara;Wojciecha;Kilara
Wojciecha Korfantego;Wojciecha;Korfantego
Wojciecha Młynarskiego;Wojciecha;Młynarskiego
Xawerego Dunikowskiego;Xawerego;Dunikowskiego
Zbigniewa Brzezińskiego;Zbigniewa;Brzezińskiego
Zbigniewa Herberta;Zbigniewa;Herberta
Zbigniewa Romaszewskiego;Zbigniewa;Romaszewskiego
Zbigniewa Wodeckiego;Zbigniewa;Wodeckiego
Zbyszka Cybulskiego;Zbyszka;Cybulskiego
Zdzisława Lubomirskiego;Zdzisława;Lubomirskiego
Zofii Kossak;Zofii;Kossak
Zofii Kuratowskiej;Zofii;Kuratowskiej
Zofii Moraczewskiej;Zofii;Moraczewskiej
Zofii Nałkowskiej;Zofii;Nałkowskiej
Zygmunta Glogera;Zygmunta;Glogera
Zygmunta Krasińskiego;Zygmunta;Krasińskiego
Zygmunta Puławskiego;Zygmunta;Puławskiego
